===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2022-08-06 01:12:43
count workspace : /Users/furkanacar/AndroidStudioProjects/hal_app/lib
total files : 130
total code lines : 12788
total comment lines : 1464
total blank lines : 1330

cat.dart, code is 200, comment is 19, blank is 18.
project/model/referans_kunye/referans_kunye_model.dart, code is 97, comment is 2, blank is 5.
project/model/referans_kunye/referans_kunye_model.g.dart, code is 51, comment is 4, blank is 4.
project/model/subscription/subscription_model.dart, code is 24, comment is 8, blank is 11.
project/model/subscription/subscription_model.g.dart, code is 13, comment is 4, blank is 4.
project/model/uretici_model/uretici_model.dart, code is 45, comment is 0, blank is 5.
project/model/uretici_model/uretici_model.g.dart, code is 25, comment is 4, blank is 4.
project/model/urun/urun.dart, code is 19, comment is 1, blank is 1.
project/model/user/my_user_model.dart, code is 38, comment is 3, blank is 7.
project/model/user/my_user_model.g.dart, code is 67, comment is 7, blank is 10.
project/network_manager.dart/network_change_manager.dart, code is 49, comment is 0, blank is 10.
project/provider/context_provider.dart, code is 0, comment is 0, blank is 0.
project/response/a, code is 0, comment is 0, blank is 0.
project/response/bildirim kayit response, code is 6, comment is 0, blank is 4.
project/service/firebase/auth/base/auth_base.dart, code is 13, comment is 0, blank is 2.
project/service/firebase/auth/fireabase_auth_service.dart, code is 55, comment is 0, blank is 11.
project/service/firebase/firestore/base/store_base.dart, code is 6, comment is 0, blank is 2.
project/service/firebase/firestore/firestore_service.dart, code is 128, comment is 102, blank is 15.
project/service/hal/bildirim_service.dart, code is 269, comment is 3, blank is 49.
project/service/hal/genel_service.dart, code is 185, comment is 2, blank is 20.
project/service/hal/urun_service.dart, code is 198, comment is 0, blank is 24.
project/service/tc/tc_check_service.dart, code is 38, comment is 1, blank is 7.
project/service/time/time_service.dart, code is 21, comment is 1, blank is 5.
project/service/user_service_controller/user_service_controller.dart, code is 84, comment is 1, blank is 13.
project/utils/widgets/dropdown_selection.dart, code is 284, comment is 36, blank is 33.
project/utils/widgets/expanded_card_item.dart, code is 54, comment is 8, blank is 4.
project/utils/widgets/expanded_card_secondary_content.dart, code is 60, comment is 1, blank is 3.
project/utils/widgets/no_network_widget.dart, code is 71, comment is 0, blank is 9.
project/utils/widgets/not_active_user.dart, code is 64, comment is 1, blank is 4.
project/utils/widgets/settings_page_card_item.dart, code is 64, comment is 29, blank is 3.
===============================================================================
===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2022-08-06 22:57:34
